institution,n_events,city,state_region,country,notes
U. S. Pub. Health Service,1,Washington,D. C,USA,"auto: 1 mailing address(es), unanimous"
U. S. Treas. Dept,1,,,,
Union Central Life Ins. Co,1,Cincinnati,Ohio,USA,"auto: 1 mailing address(es), unanimous"
"Univ. Sch, Cleveland",1,,,,
"Univ. of Kans. paleont. exped, Oregon",1,,,,
Utah,1,Salt Lake City,Utah,USA,"auto: 1 mailing address(es), unanimous"
Va. Polytech,1,,,,
Valparaiso,1,,,,
Vanderbilt,1,,,,
W.I.B,1,,,,
Wabash,1,Crawfordsville,Ind,USA,"auto: 1 mailing address(es), unanimous"
Wadsworth Watch Case Co,1,,,,
Wash,1,,,,
Wash. Col,1,,,,
"Water resources branch, U. S. Geol. Surv.",1,,,,
West Stoneware Co,1,,,,
"West. Boundary Surv, Md",1,,,,
"Westinghouse Elec. and Mfg. Co, Boston",1,,,,
Westinghouse Elec. and Mfg. Co.,1,,,,
Wilson and Co,1,,,,
Woods Hole,1,,,,
Wyo,1,,,,
Wyoming,1,,,,
"Yampa tramway, Bingham, Utah",1,,,,
"schools, Pa.",1,,,,
Inst. Parasitol,0,,,Peru,country printed explicitly in directory
